id,GLOPAD_ID,PAAX_ID,ActorName,GW_ID,org_region,actor_classification,actor_classification_glopad,other_glopad_id
398,ENT_484,ENT_484,Anjouan,581,,,Entity,
399,CON_482,CON_482,Mauritius,590,,Country/State,Country/State,
400,CON_481,CON_481,Madagascar,580,,Country/State,Country/State,
401,ENT_1161,ENT_1161,Mwali,581,,,Entity,
402,CON_486,CON_486,Qatar,694,,Country/State,Country/State,
403,ENT_487,ENT_487,Tripura,750,,,Entity,
404,ENT_967,ENT_967,Assam Government,750,,,Entity,
405,ENT_1163,ENT_1163,Maguindanao ,840,,,Entity,
406,OTH_1011,OTH_1011,International Monitoring Team,840,,,Other,
407,IGO_491,IGO_491,Economic and Monetary Community of Central Africa,,Africa,Regional IGO,Regional IGO,
408,IGO_493,IGO_493,International Conference on the Great Lakes Region,,,International IGO,International IGO,
409,ENT_497,ENT_497,Kurdistan,,,,Entity,
410,POL_499,POL_499,Orange Democratic Movement,501,,,Political Party,
411,OTH_1308,OTH_1308,Leading personalities of the Darfur Movements,625,,,Other,
412,OTH_1277,OTH_1277,Darfur Movements,625,,,Other,
413,POL_507,POL_507,Socialist Party,90,,,Political Party,
414,POL_504,POL_504,Solidarity Action Movement,90,,,Political Party,
415,POL_506,POL_506,National Renewal Party,90,,,Political Party,
416,POL_501,POL_501,National Advancement Front Party,90,,,Political Party,
417,OTH_503,OTH_503,National Reconciliation Commission (CNR),90,,,Other,
418,POL_505,POL_505,National Liberation Movement,90,,,Political Party,
419,NGO_502,NGO_502,Episcopal Conference of Guatemala,90,,,Civil Society,
420,OTH_510,OTH_510,National Consultative Peace Jirga (NCPJ),700,,,Other,
421,NGO_509,NGO_509,Religious Scholars,,,,Civil Society,
422,NGO_508,NGO_508,Afghan Refugees,700,,,Civil Society,
423,ENT_635,ENT_635,South Ossetia,365,,,Entity,
424,OTH_514,OTH_514,Interim Transitional National Council,620,,,Other,
425,POL_519,POL_519,Lebanese Democrat Party,660,,,Political Party,
426,POL_520,POL_520,Amal Movement,660,,,Political Party,
427,POL_515,POL_515,The Future Movement,660,,,Political Party,
428,POL_517,POL_517,Progressive Socialist Party,660,,,Political Party,
429,POL_518,POL_518,Syrian Social Nationalist Party,652,,,Political Party,
430,CON_521,CON_521,Lesotho,570,,Country/State,Country/State,
431,POL_522,POL_522,Marematlou Freedom Party,570,,,Political Party,
432,POL_523,POL_523,Lesotho Workers Party,570,,,Political Party,
433,POL_524,POL_524,All Basotho Convention,570,,,Political Party,
434,POL_525,POL_525,Lesotho People's Congress,570,,,Political Party,
435,POL_526,POL_526,Batotho National Party,570,,,Political Party,
436,POL_527,POL_527,Popular Front for Democracy,570,,,Political Party,
437,POL_528,POL_528,Basotho Democratic National Party,570,,,Political Party,
438,OTH_529,OTH_529,National Independent,570,,,Other,
439,POL_530,POL_530,Basotho Batho Democratic Party,570,,,Political Party,
440,ENT_561,ENT_561,Galmudug,520,,,Entity,
441,IGO_536,IGO_536,United Nations Political Office for Somalia (UNPOS),,,,Intergovernmental Organization,
442,IGO_535,IGO_535,East African Community,,Africa,Regional IGO,Regional IGO,
443,POL_538,POL_538,National Congress Party,625,,,Political Party,
444,OTH_539,OTH_539,National Council,678,,,Other,
445,IGO_540,IGO_540,Gulf Cooperation Council,,Asia,Regional IGO,Regional IGO,
446,IGO_1191,IGO_1191,United Nations Integrated Peacebuilding Office in the Central African Republic (BINUCA),,,,Intergovernmental Organization,
447,IGO_1283,IGO_1283,Mission for the Consolidation of Peace in Central African Republic,,,,Intergovernmental Organization,
448,IGO_542,IGO_542,Community of Sahel-Saharan States,,Africa,Regional IGO,Regional IGO,
449,POL_547,POL_547,National Movement,483,,,Political Party,
450,POL_548,POL_548,Democratic Unionist Party,,,,Political Party,
451,OTH_1246,OTH_1246,Malagasy Political Stakeholders,580,,,Other,
452,ENT_550,ENT_550,Wa Special Region,775,,,Entity,
453,CON_551,CON_551,Myanmar,775,,Country/State,Country/State,
454,ENT_1247,ENT_1247,Chin State,775,,,Entity,
455,OTH_556,OTH_556,Mon State Level Peace-Making Group,775,,,Other,
456,OTH_557,OTH_557,Karen State-Level Peace-Making Team,775,,,Other,
457,OTH_560,OTH_560,Rakhine State Government Peace-Making Group,775,,,Other,
458,POL_559,POL_559,Rakhine State Liberation Party,775,,,Political Party,
459,CON_562,CON_562,Turkey,640,,Country/State,Country/State,
460,CON_563,CON_563,Kuwait,692,,Country/State,Country/State,
461,OTH_566,OTH_566,Jubba Interim Administration,520,,,Other,
462,IGO_913,IGO_913,Economic Community of Central African States,,Africa,Regional IGO,Regional IGO,
463,POL_1333,POL_1333,Democratic Opposition,482,,,Political Party,
464,IGO_570,IGO_570,United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA),,,International IGO,International IGO,
465,OTH_1288,OTH_1288,Citizen Alternative for Democracy and Peace,482,,,Other,
466,NGO_1291,NGO_1291,National Youth Council,482,,,Civil Society,
467,NGO_1293,NGO_1293,Workers' Unions,482,,,Civil Society,
468,NGO_1294,NGO_1294,National Confederation of Farmers and Breeders,482,,,Civil Society,
469,NGO_1295,NGO_1295,Inter-NGO Council in the Central African Republic,482,,,Civil Society,
470,NGO_1296,NGO_1296,Internally Displaced Persons,482,,,Civil Society,
471,NGO_1297,NGO_1297,Communities at Risk,482,,,Civil Society,
472,NGO_1298,NGO_1298,Collective of the Central African Diaspora,482,,,Civil Society,
473,OTH_1292,OTH_1292,High Council for Communication,482,,,Other,
474,NGO_1077,NGO_1077,Women Leaders Advisory Committee,482,,,Civil Society,
475,POL_578,POL_578,Zimbabwe African National Union – Patriotic Front,552,,,Political Party,
476,POL_579,POL_579,Movement for Democratic Change,552,,,Political Party,
477,POL_1217,POL_1217,Renewal of the Social Democratic Party,580,,,Political Party,
478,POL_1235,POL_1235,Vonjy Iray Tsy Mivaky,580,,,Political Party,
479,NGO_1234,NGO_1234,Syndicat des fonctionnaires,580,,,Civil Society,
480,NGP_1233,NGP_1233,SOS Aux Victimes de Non Droit,580,,,Civil Society,
481,NGO_1208,NGO_1208,Consortium National pour la participation Citoyenne,580,,,Civil Society,
482,OTH_1207,OTH_1207,Congres Malgache de la Route et des Transports ,580,,,Other,
483,NGO_1206,NGO_1206,Club Developpement et Ethique ,580,,,Civil Society,
484,NGO_1205,NGO_1205,Colectif des Citoyens et des Organisations Citoyennes,580,,,Civil Society,
485,POL_1204,POL_1204,Asa Vita no Ifampitsarana,580,,,Political Party,
486,OTH_1203,OTH_1203,Télévision Malagasy,580,,,Other,
487,POL_1202,POL_1202,Antoko Miombona Ezaka ,580,,,Political Party,
488,POL_1201,POL_1201,Congress Party for Malagasy Independence – Renewal,580,,,Political Party,
489,NGO_1200,NGO_1200,Acces Zon'olombelona,580,,,Civil Society,
490,POL_1199,POL_1199,Malagasy Tonga Saina,580,,,Political Party,
491,POL_1198,POL_1198,LEADER-Fanilo,580,,,Political Party,
492,NGO_1232,NGO_1232,Forum for African Women Educationalists,,,,Civil Society,
493,POL_1231,POL_1231,Komity Miaro ny Demokrasia,580,,,Political Party,
494,NGO_1230,NGO_1230,MAMPAFI/Malagsy mpandala Fihavanana,580,,,Civil Society,
495,POL_1229,POL_1229,Malagsy Miara-Mandroso Aron'ny Demokrasia,580,,,Political Party,
496,NGO_1228,NGO_1228,KMF/CNOE-Education des citoyens,580,,,Civil Society,
497,NGO_1236,NGO_1236,Vondrona Miralenta ho an'ny fampandrosoana,580,,,Civil Society,
498,NGO_1238,NGO_1238,Jeune Patronat de Madagascar,580,,,Civil Society,
499,NGO_1239,NGO_1239,Plateforme Nationale des Jeunes pour les Developpement,580,,,Civil Society,
500,IGO_1219,IGO_1219,Reseau des femmes Africaines Ministres et Parlementaires section Madagascar,580,,,Intergovernmental Organization,
501,NGO_1220,NGO_1220,Réseau pour l’éradication de la violence ,580,,,Civil Society,
502,POL_1216,POL_1216,Democratic Party for Union in Madagascar ,580,,,Political Party,
503,POL_1221,POL_1221,Solidarité des Fédéralistes de Madagascar,580,,,Political Party,
504,POL_1223,POL_1223,Forces pour le Changement,580,,,Political Party,
505,NGO_1224,NGO_1224,Fédération Minière de Madagasca,580,,,Civil Society,
506,POL_1225,POL_1225,Femmes legalistes de la mouvance Ravalomanana,580,,,Political Party,
507,NGO_1215,NGO_1215,Plateforme Nationale des Organisations de la Société Civile de Madagascar,580,,,Civil Society,
508,POL_1214,POL_1214,Parti fort Democratique de Madagascar,580,,,Political Party,
509,POL_1218,POL_1218,Rassemblement des démocrates musulmans de Madagascar Renouveau,580,,,Political Party,
510,POL_1211,POL_1211,Parti du Congres de l'Independance de Madagascar,580,,,Political Party,
511,POL_1210,POL_1210,MONIMA/Forces pour le Changement,580,,,Political Party,
512,POL_1209,POL_1209,MAVANA/Forces pour le Changement,580,,,Political Party,
513,NGO_1245,NGO_1245,Federation de Hoteliers et Restaurateurs de Madagascar,580,,,Civil Society,
514,NGO_1244,NGO_1244,Fivondronan’ny Mpandraharaha Malagasy,580,,,Civil Society,
515,NGO_1243,NGO_1243,Groupements des Entreprises de Madagascar,580,,,Civil Society,
516,NGO_1242,NGO_1242,Fédération des Syndicats de Travailleurs de Madagascar,580,,,Civil Society,
517,NGO_1241,NGO_1241,Sendika Revolisakonera Malagasy,580,,,Civil Society,
518,NGO_1240,NGO_1240,Conference des Travailleurs de Madagascar,580,,,Civil Society,
519,POL_1212,POL_1212,Parti FANARENANA,580,,,Political Party,
520,POL_1222,POL_1222,Droits Humains et Démocratie,580,,,Political Party,
521,NGO_1226,NGO_1226,Groupement des Entités de la Société Civile pour la défense de la démocratie et des valeurs républicaines,580,,,Civil Society,
522,POL_1227,POL_1227,Groupement Liberal de Madagascar,580,,,Political Party,
523,POL_581,POL_581,All Political Parties Conference,626,,,Political Party,
524,POL_584,POL_584,Action Committee for Renewal,461,,,Political Party,
525,CON_585,CON_585,Costa Rica,94,,Country/State,Country/State,
526,IGO_586,IGO_586,Shanghai Cooperation Organization,,Asia,Regional IGO,Regional IGO,
527,CON_610,CON_610,North Macedonia,343,,Country/State,Country/State,
528,CON_611,CON_611,Luxembourg,215,,Country/State,Country/State,
529,CON_612,CON_612,Lithuania,368,,Country/State,Country/State,
530,CON_613,CON_613,Liechtenstein,223,,Country/State,Country/State,
531,CON_604,CON_604,Denmark,390,,Country/State,Country/State,
532,CON_614,CON_614,Malta,338,,Country/State,Country/State,
533,CON_615,CON_615,Latvia,367,,Country/State,Country/State,
534,CON_603,CON_603,Poland,290,,Country/State,Country/State,
535,CON_609,CON_609,Cyprus,352,,Country/State,Country/State,
536,CON_608,CON_608,Mongolia,712,,Country/State,Country/State,
537,CON_607,CON_607,Montenegro,341,,Country/State,Country/State,
538,CON_605,CON_605,Estonia,366,,Country/State,Country/State,
539,CON_606,CON_606,Oman,698,,Country/State,Country/State,
540,CON_602,CON_602,Hungary,310,,Country/State,Country/State,
541,CON_589,CON_589,Bulgaria,355,,Country/State,Country/State,
542,CON_590,CON_590,Tunisia,616,,Country/State,Country/State,
543,CON_591,CON_591,United Arab Emirates,696,,Country/State,Country/State,
544,CON_592,CON_592,Slovakia,317,,Country/State,Country/State,
545,CON_593,CON_593,Sweden,380,,Country/State,Country/State,
546,CON_594,CON_594,Uruguay,165,,Country/State,Country/State,
547,IGO_1139,IGO_1139,South Asian Association for Regional Cooperation,,Asia,Regional IGO,Regional IGO,
548,CON_637,CON_637,Czechia,316,,Country/State,Country/State,
549,CON_587,CON_587,Albania,339,,Country/State,Country/State,
550,CON_588,CON_588,Austria,305,,Country/State,Country/State,
551,CON_601,CON_601,Iceland,385,,Country/State,Country/State,
552,IGO_600,IGO_600,Asian Development Bank,,Asia,Regional IGO,Regional IGO,
553,IGO_599,IGO_599,Conference on Interaction and Confidence-Building Measures in Asia (CICA),,Asia,Regional IGO,Regional IGO,
554,IGO_596,IGO_596,Islamic Development Bank,,,International IGO,International IGO,
555,IGO_598,IGO_598,Collective Security Treaty Organization,,Europe,Regional IGO,Regional IGO,
556,IGO_597,IGO_597,Economic Cooperation Organization,,,Regional IGO,Regional IGO,
557,NGO_595,NGO_595,Aga Khan Development Network,,,,Civil Society,
558,IGO_616,IGO_616,United Nations Interim Security Force for Abyei (UNISFA),,,International IGO,International IGO,
559,OTH_1309,OTH_1309,Darfur Stakeholders,625,,,Other,
560,OTH_1269,OTH_1269,National Security Council,840,,,Other,
561,OTH_617,OTH_617,Cordillera Bodong Administration,840,,,Other,
562,ENT_1281,ENT_1281,Apayao Province,840,,,Entity,
563,ENT_1280,ENT_1280,"Lone District, Ifugao",840,,,Entity,
564,CON_621,CON_621,Honduras,91,,Country/State,Country/State,
565,IGO_624,IGO_624,United Nations Mission in the Democratic Republic of the Congo (MONUC),,,International IGO,International IGO,
566,COA_629,COA_629,Group of 12,,,,State Coalition,
567,CON_669,CON_669,Vatican City,,,Country/State,Country/State,
568,ENT_633,ENT_633,Baku community,910,,,Civil Society,
569,ENT_634,ENT_634,North Ossetia,365,,,Entity,
570,IGO_638,IGO_638,European Bank for Reconstruction and Development,,Europe,Regional IGO,Regional IGO,
571,IGO_639,IGO_639,Council of Europe,,Europe,Regional IGO,Regional IGO,
572,IGO_640,IGO_640,Office of the United Nations High Commissioner for Human Rights,,,International IGO,International IGO,
573,CON_636,CON_636,Greece,350,,Country/State,Country/State,
574,CON_641,CON_641,Seychelles,591,,Country/State,Country/State,
575,POL_1179,POL_1179,National Front for Justice ,581,,,Political Party,
576,OTH_642,OTH_642,Interim Political Authority,570,,,Other,
577,POL_643,POL_643,National Liberation Front,615,,,Political Party,
578,POL_646,POL_646,Workers Party,615,,,Political Party,
579,POL_645,POL_645,Movement for Democracy in Algeria,615,,,Political Party,
580,POL_644,POL_644,Socialist Forces Front,615,,,Political Party,
581,IGO_652,IGO_652,United Nations Mission in Sierra Leone (UNAMSIL),,,International IGO,International IGO,
582,POL_655,POL_655,National Democratic Alliance,625,,,Political Party,
583,POL_1255,POL_1255,FRELIMO,541,,,Political Party,
584,NGO_1256,NGO_1256,Anglican Church of Southern Africa,541,,,Civil Society,
585,NGO_1257,NGO_1257,United Methodist Church,541,,,Civil Society,
586,NGO_1180,NGO_1180,Muslim Community Leader,541,,,Civil Society,
587,POL_661,POL_661,National Salvation Movement,100,,,Political Party,
588,POL_662,POL_662,Colombian Conservative Party,100,,,Political Party,
589,POL_659,POL_659,Communist Party of Colombia (Marxist–Leninist),100,,,Political Party,
590,NGO_1182,NGO_1182,Caucanos for Peace,100,,,Civil Society,
591,OTH_1252,OTH_1252,Other,100,,,Other,
592,OTH_1253,OTH_1253,Constituent Assembly of Colombia,100,,,Other,
593,NGO_186,NGO_186,Church Representative,100,,,Civil Society,
594,OTH_663,OTH_663,Hope for Peace and Freedom,100,,,Other,
595,OTH_664,OTH_664,Peace Facilitation Commission,100,,,Other,
596,OTH_666,OTH_666,Facilitating and Verification Commission,100,,,Other,
597,POL_1248,POL_1248,Sí Colombia,100,,,Political Party,
598,POL_1249,POL_1249,Colombian Liberal Party,100,,,Political Party,
599,CON_670,CON_670,Panama,95,,Country/State,Country/State,
600,NGO_1254,NGO_1254,FENALCO National Merchants/Traders federation,100,,,Civil Society,
601,IGO_680,IGO_680,Asian Productivity Organization,,Asia,Regional IGO,Regional IGO,
602,IGO_679,IGO_679,International Fund for Agricultural Development (IFAD),,,International IGO,International IGO,
603,IGO_678,IGO_678,"United Nations Educational, Scientific and Cultural Organization",,,International IGO,International IGO,
604,IGO_681,IGO_681,Multilateral Investment Guarantee Agency (MIGA),,,International IGO,International IGO,
605,IGO_677,IGO_677,World Health Organization,,,International IGO,International IGO,
606,IGO_675,IGO_675,International Organization for Migration,,,International IGO,International IGO,
607,OTH_671,OTH_671,Central Bank of Sri Lanka,780,,,Other,
608,IGO_672,IGO_672,UN Office on Drugs and Crimes,,,International IGO,International IGO,
609,IGO_676,IGO_676,Food and Agriculture Organization,,,International IGO,International IGO,
610,IGO_673,IGO_673,World Food Program,,,International IGO,International IGO,
611,IGO_674,IGO_674,United Nations Population Fund,,,International IGO,International IGO,
612,ENT_682,ENT_682,Czechoslovakia,315,,,Entity,
613,OTH_837,OTH_837,International Conference on the Former Yugoslavia,,,,Other,
614,OTH_794,OTH_794,Local Authorities,340,,,Other,
615,OTH_686,OTH_686,Monitoring Team of Security Modality,850,,,Other,
616,COA_688,COA_688,Group of Eight,,,,State Coalition,
617,OTH_690,OTH_690,National Organizations,615,,,Other,
618,NGO_691,NGO_691,Women's Groups,615,,,Civil Society,
619,NGO_1311,NGO_1311,Youth Groups,615,,,Civil Society,
620,NGO_1312,NGO_1312,Unions,615,,,Civil Society,
621,POL_698,POL_698,Convention African Peoples Democratic,461,,,Political Party,
622,POL_697,POL_697,Togolese Union for Democracy,461,,,Political Party,
623,POL_696,POL_696,Party for Democracy and Renewal,461,,,Political Party,
624,POL_695,POL_695,Democratic party pure Unite,461,,,Political Party,
625,POL_694,POL_694,Union for the Democracy and Solidarity,461,,,Political Party,
626,POL_693,POL_693,Party of the pure-Action on Development,461,,,Political Party,
627,POL_705,POL_705,Democratic Convention of African People,461,,,Political Party,
628,NGO_704,NGO_704,"Group for Reflexion and Action on Women, Democracy and Development",461,,,Civil Society,
629,NGO_703,NGO_703,African Female Ministers and Parliamentarians Network,461,,,Civil Society,
630,POL_702,POL_702,Panafrican Patriotic Convention,461,,,Political Party,
631,ENT_707,ENT_707,West Bengal,750,,,Entity,
632,OTH_708,OTH_708,Darjeeling Gorkha Hill Council,750,,,Other,
633,NGO_1088,NGO_1088,Women Development Association of Liberia,450,,,Civil Society,
634,NGO_1087,NGO_1087,Muslim Council of Liberia,450,,,Civil Society,
635,NGO_1083,NGO_1083,National Medical and Dental Association of Liberia,450,,,Civil Society,
636,NGO_1086,NGO_1086,Liberian Council of Churches,450,,,Civil Society,
637,NGO_1084,NGO_1084,Movement for Justice in Africa,450,,,Civil Society,
638,NGO_1085,NGO_1085,Federation of Liberia Youth,450,,,Civil Society,
639,NGO_1082,NGO_1082,Press Union of Liberia,450,,,Civil Society,
640,OTH_710,OTH_710,Union Peace Working Committee,775,,,Other,
641,NGO_713,NGO_713,Council of Christian Churches of Angola,540,,,Civil Society,
642,OTH_715,OTH_715,Cabinda Forum for Dialogue,540,,,Other,
643,NGO_712,NGO_712,Episcopal Conference of Angola and Sao Tome,,,,Civil Society,
644,NGO_714,NGO_714,Inter-Ecclesiastical Council for Peace in Angol,540,,,Civil Society,
645,POL_867,POL_867,Madhesi Janadhikar Forum,790,,,Political Party,
646,NGO_717,NGO_717,Women's Bloc Representative,626,,,Civil Society,
647,NGO_716,NGO_716,Civil Society Representative,626,,,Civil Society,
648,NGO_719,NGO_719,Eminent Personalities Representative,626,,,Civil Society,
649,NGO_1262,NGO_1262,Faith Based Leader,626,,,Civil Society,
650,ENT_720,ENT_720,Luhansk People Republic,369,,,Entity,
651,ENT_721,ENT_721,Donetsk People Republic,369,,,Entity,
652,OTH_726,OTH_726,National Transitional Council,620,,,Other,
653,OTH_727,OTH_727,House of Representatives,620,,,Other,
654,NGO_731,NGO_731,Women's Organizations,620,,,Civil Society,
655,OTH_730,OTH_730,Tribal Leaders,620,,,Civil Society,
656,OTH_725,OTH_725,General National Congress,620,,,Other,
657,COA_733,COA_733,Friends of Yemen,,,,State Coalition,
658,OTH_735,OTH_735,Preparatory Committee for National Dialogue,678,,,Other,
659,POL_736,POL_736,Yemeni Congregation for Reform,678,,,Political Party,
660,POL_737,POL_737,Solidarity Council and the Freedom Bloc,678,,,Political Party,
661,POL_738,POL_738,Al - Haqq,678,,,Political Party,
662,ENT_739,ENT_739,Palestine,667,,,Entity,
663,NGO_742,NGO_742,Women's Societies,692,,,Civil Society,
664,POL_743,POL_743,Political Societies,692,,,Political Party,
665,OTH_745,OTH_745,Media,692,,,Other,
666,NGO_746,NGO_746,Youth Societies,692,,,Civil Society,
667,NGO_1282,NGO_1282,Bahrain Chamber of Commerce and Industry,692,,,Civil Society,
668,NGO_747,NGO_747,Labour Unions,692,,,Civil Society,
669,OTH_748,OTH_748,Governing Council,645,,,Government/state,
670,OTH_749,OTH_749,Coalition Provisional Authority,,,,Other,
671,IGO_750,IGO_750,United Nations Support Mission in Libya (UNSMIL),,,International IGO,International IGO,
672,OTH_1275,OTH_1275,"Albanian ethnic community (Presevo, Bujanovac and Medvedja)",340,,,Civil Society,
673,OTH_791,OTH_791,Arbitration Commission of the Conference on Yugoslavia,,Europe,,Other,
674,ENT_1174,ENT_1174,Krajina,,,,Entity,
675,IGO_795,IGO_795,United Nations Confidence Restoration Operation (UNCRO),,,International IGO,International IGO,
676,POL_833,POL_833,Croatian Democratic Union,344,,,Political Party,
677,POL_1181,POL_1181,Serbian Democratic Party,346,,,Political Party,
678,POL_1007,POL_1007,Party of Democratic Action,346,,,Political Party,
679,POL_798,POL_798,National League for Democracy,775,,,Political Party,
680,POL_802,POL_802,National Unity Party,775,,,Political Party,
681,POL_803,POL_803,Union Solidarity and Development Party,775,,,Political Party,
682,POL_801,POL_801,United Nationalities Alliance,775,,,Political Party,
683,POL_800,POL_800,Federal Democracy Alliance,775,,,Political Party,
684,POL_799,POL_799,Nationalities Brotherhood Federation,775,,,Political Party,
685,OTH_1319,OTH_1319,Stakeholders,775,,,Other,
686,NGO_1251,NGO_1251,Elders of North Waziristan of Utmanzai,770,,,Civil Society,
687,ENT_811,ENT_811,Isperka,770,,,Civil Society,
688,ENT_812,ENT_812,Musa Khel,770,,,Civil Society,
689,ENT_808,ENT_808,"Shakai, District Wana",770,,,Entity,
690,ENT_809,ENT_809,South Wazirstan Agency,770,,,Entity,
691,OTH_817,OTH_817,Union Peace-Making Working Committee,775,,,Other,
692,OTH_1316,OTH_1316,Peace Facilitators,775,,,Other,
693,OTH_820,OTH_820,Karen State Peace Making Group,775,,,Other,
694,OTH_827,OTH_827,Union Peacemaking Working Committee,775,,,Other,
695,NGO_919,NGO_919,Youth Representative,626,,,Civil Society,
696,NGO_1076,NGO_1076,Representative of Women Group-WES,626,,,Civil Society,
697,IGO_831,IGO_831,United Nations Mission in South Sudan (UNMISS),,,International IGO,International IGO,
698,NGO_1322,NGO_1322,Traditional Authority,626,,,Civil Society,
699,NGO_1323,NGO_1323,Faith-based Council,626,,,Civil Society,
700,OTH_834,OTH_834,State Central Committee for Drug Abuse Control (CDAC),775,,,Other,
701,ENT_835,ENT_835,Jubbaland,520,,,Entity,
702,ENT_1324,ENT_1324,South-West State of Somalia,520,,,Entity,
703,OTH_836,OTH_836,Exchange Comisssion,346,,,Other,
704,NGO_838,NGO_838,Malteser International,,,,Other,
705,OTH_839,OTH_839,National Transition Council,482,,,Other,
706,OTH_1339,OTH_1339,College of Chiefs,570,,,Other,
707,NGO_849,NGO_849,Lesotho Council of NGOs,570,,,Civil Society,
708,NGO_848,NGO_848,Christian Council of Lesotho,570,,,Civil Society,
709,POL_847,POL_847,Lesotho Congress for Democracy,570,,,Political Party,
710,POL_846,POL_846,Basotho National Party,570,,,Political Party,
711,POL_845,POL_845,All Democratic Cooperation,570,,,Political Party,
712,POL_844,POL_844,African Unity Movement,570,,,Political Party,
713,POL_843,POL_843,Basotho Congress Party,570,,,Political Party,
714,POL_842,POL_842,Basotho National African Congress,570,,,Political Party,
715,POL_841,POL_841,Democratic Congress,570,,,Political Party,
716,POL_840,POL_840,National Independent Party,570,,,Political Party,
717,POL_850,POL_850,Basutoland Congress Party,570,,,Political Party,
718,IGO_854,IGO_854,United Nations Mission in Sudan (UNMIS),,,International IGO,International IGO,
719,ENT_864,ENT_864,Abyei,625,,,Entity,
720,OTH_1327,OTH_1327,Police and National Security,625,,,Other,
721,ENT_865,ENT_865,Southern Kordofan,625,,,Entity,
722,ENT_1328,ENT_1328,Unity State,625,,,Entity,
723,ENT_1329,ENT_1329,Northern Bahr El-Gazal State,625,,,Entity,
724,OTH_1330,OTH_1330,Joint Defense Council,625,,,Other,
725,OTH_1274,OTH_1274,Joint Peacekeeping Force (JPKF),372,,,Other,
726,OTH_856,OTH_856,Joint Control Commission (JCC),365,,,Other,
727,ENT_861,ENT_861,Habar Yoonis,520,,,Entity,
728,ENT_860,ENT_860,Ogeyslabe,520,,,Entity,
729,ENT_859,ENT_859,Dhulbahante,520,,,Entity,
730,ENT_858,ENT_858,Habr Je'lo,520,,,Entity,
731,ENT_857,ENT_857,Warsangali ,520,,,Entity,
732,ENT_1307,ENT_1307,Darfur,625,,,Entity,
733,ENT_863,ENT_863,Blue Nile,625,,,Entity,
734,ENT_1173,ENT_1173,Nagorno-Karabakh,373,,,Entity,
735,POL_531,POL_531,Unified Communist Party of Nepal,790,,,Political Party,
736,POL_866,POL_866,Terai Madhesh Loktantrik Party,790,,,Political Party,
737,OTH_1258,OTH_1258,Independent,,,,Other,
738,POL_868,POL_868,National Umma Party,625,,,Political Party,
739,OTH_874,OTH_874,Dimasa Student's Union,750,,,Civil Society,
740,OTH_871,OTH_871,Karbi Students Union,750,,,Civil Society,
741,OTH_872,OTH_872,ASDC,750,,,Political Party,
742,OTH_873,OTH_873,North Cachatr Hills Student Federation,750,,,Civil Society,
743,OTH_1175,OTH_1175,Euro-Burma Office,,,,Other,
744,OTH_1176,OTH_1176,Peace-Talk Creation Group,775,,,Other,
745,POL_1284,POL_1284,Arakan National Council,775,,,Political Party,
746,POL_1285,POL_1285,Palaung State Liberation Front,775,,,Political Party,
747,POL_1286,POL_1286,Wa National Organisation,775,,,Political Party,
748,POL_877,POL_877,Arab Baath Socialist Party,652,,,Political Party,
749,POL_878,POL_878,Union of Popular Forces,678,,,Political Party,
750,POL_879,POL_879,Al-Rashad Union,678,,,Political Party,
751,POL_881,POL_881,Unionist Union Party,678,,,Political Party,
752,POL_882,POL_882,Justice and Construction Party,678,,,Political Party,
753,POL_880,POL_880,Popular Unificationist Nasserite Organization,678,,,Political Party,
754,POL_883,POL_883,Patriotic Union of Kurdistan,645,,,Political Party,
755,NGO_1358,NGO_1358,Kaninkon,475,,,Civil Society,
756,NGO_1359,NGO_1359,Fantsuwan,475,,,Civil Society,
757,NGO_1356,NGO_1356,Jaba,475,,,Civil Society,
758,NGO_1349,NGO_1349,Mada,475,,,Civil Society,
759,NGO_1355,NGO_1355,Kuturmi,475,,,Civil Society,
760,NGO_1354,NGO_1354,Moro'a,475,,,Civil Society,
761,NGO_1353,NGO_1353,Kagoro,475,,,Civil Society,
762,NGO_1352,NGO_1352,Atakar,475,,,Civil Society,
763,NGO_1351,NGO_1351,Ayu,475,,,Civil Society,
764,NGO_1350,NGO_1350,Gwandara,475,,,Civil Society,
765,NGO_1348,NGO_1348,Ninzo,475,,,Civil Society,
766,NGO_1357,NGO_1357,Adara,475,,,Civil Society,
767,GOV_1184,GOV_1184,Kachia LGA,475,,,Government/state,
768,GOV_1185,GOV_1185,Kaura LGA,475,,,Government/state,
769,GOV_1186,GOV_1186,Sanga LGA,475,,,Government/state,
770,GOV_1187,GOV_1187,Zangon-Kataf LGA,475,,,Government/state,
771,NGO_1346,NGO_1346,Numana,475,,,Civil Society,
772,NGO_1345,NGO_1345,Atyap,475,,,Civil Society,
773,GOV_1183,GOV_1183,Jema'a LGA,475,,,Government/state,
774,NGO_1344,NGO_1344,Bajju,475,,,Civil Society,
775,NGO_1343,NGO_1343,Fulani,475,,,Civil Society,
776,NGO_1342,NGO_1342,Hausa,475,,,Civil Society,
777,NGO_1341,NGO_1341,Ikulu,475,,,Civil Society,
778,NGO_1340,NGO_1340,Kamantan,475,,,Civil Society,
779,POL_887,POL_887,Rally for the Republic,482,,,Political Party,
780,NGO_885,NGO_885,Coordination des Organizations des Musulmans Centrafricains,,,,Civil Society,
781,POL_886,POL_886,Kwa Na Kwa,482,,,Political Party,
782,POL_888,POL_888,Union for Central African Renewal,482,,,Political Party,
